0.176470588,0.037234043,0,0,0.031007752,0.846422339,0,0.058823529,C3
0,0.005319149,0,0,0,0,0,0,C1
0,0.005319149,0,0,0,0.005235602,0,0,C1
0.117647059,0.042553191,0.230769231,0,0.015503876,0.02443281,0.1,0.117647059,C0
0,0,0,0,0.015503876,0.008726003,0.05,0.058823529,C1
0.058823529,0.005319149,0,0,0.015503876,0.02617801,0,0,C1
0,0.058510638,0,0,0,0.064572426,0,0.058823529,C1
0,0.058510638,0,0,0,0.005235602,0,0,C1
0.058823529,0.04787234,0,0,0.093023256,0.059336824,0.1,0.058823529,C1
0,0.10106383,0,0.125,0.085271318,0.127399651,0.1,0.117647059,C1
0.117647059,0.010638298,0,0,0.031007752,0.082024433,0.3,0.058823529,C0
0.294117647,0.074468085,0,0,0.093023256,0.153577661,0.3,0.117647059,C0
0,0.015957447,0,0,0.085271318,0.034904014,0,0.058823529,C1
0.352941176,0.005319149,0,0,0,0.02443281,0.05,0,C0
0.058823529,0.015957447,0,0,0.007751938,0.005235602,0.05,0,C1
0,0,0,0,0,0.005235602,0.05,0,C1
0,0.005319149,0,0,0.015503876,0.031413613,0.1,0.117647059,C1
0,0.085106383,0.076923077,0,0.007751938,0.062827225,0,0,C1
0,0.005319149,0,0,0.007751938,0.020942408,0,0,C1
0,0.005319149,0,0,0,0.003490401,0.1,0.117647059,C1
0,0.053191489,0.076923077,0,0.11627907,0.073298429,0.05,0.058823529,C1
0,0.04787234,0.076923077,0,0.139534884,0.261780105,0,0.058823529,C1
0,0.04787234,0,0,0.007751938,0.005235602,0,0.176470588,C1
0,0.026595745,0,0,0,0.008726003,0,0,C1
0.294117647,0.005319149,0,0,0,0.010471204,0,0,C0
0.176470588,0,0,0,0.015503876,0.008726003,0,0.058823529,C1
0,0.04787234,0,0,0.015503876,0.041884817,0,0,C1
0.117647059,0.063829787,0.615384615,0,0.581395349,0.247818499,0.3,0.176470588,C2
0.176470588,0.026595745,0,0,0.031007752,0.012216405,0.1,0.117647059,C0
0,0.010638298,0,0,0.007751938,0.02617801,0.05,0.117647059,C1
0.235294118,0.010638298,0,0,0,0.012216405,0,0.058823529,C0
0.058823529,0.058510638,0.076923077,0,0.015503876,0.108202443,0,0,C1
0.235294118,0.063829787,0.153846154,0,0.007751938,0.02443281,0.05,0.058823529,C0
0,0.031914894,0.076923077,0.25,0.023255814,0.015706806,0.1,0,C1
0.352941176,0.010638298,0,0,0.015503876,0.02617801,0.05,0.058823529,C0
0,0.026595745,0.384615385,0,0.046511628,0.033158813,0.1,0.058823529,C0
0.117647059,0,0,0,0,0.378708551,0,0,C1
0,0.015957447,0,0,0,0.003490401,0,0,C1
0.058823529,0,0,0,0.007751938,0.017452007,0.05,0,C1
0.529411765,0.021276596,0,0,0.03875969,0.020942408,0,0.647058824,C3
0,0.010638298,0,0.125,0.031007752,0.036649215,0,0.058823529,C1
0.941176471,0.04787234,0,0,0.015503876,0.027923211,0.2,0.058823529,C0
0.058823529,0.021276596,0,0,0.007751938,0.003490401,0,0,C1
0,0.015957447,0,0,0.015503876,0.705061082,0,0.058823529,C3
0,0.010638298,0,0,0.023255814,0.013961606,0.05,0.176470588,C1
0,0.005319149,0.076923077,0,0,0.001745201,0.05,0,C1
0,0.042553191,0.153846154,0,0.031007752,0.047120419,0,0,C1
0,0.026595745,0.076923077,0,0.007751938,0.010471204,0,0,C1
0,0.005319149,0.076923077,0,0.023255814,0.04886562,0.15,0.117647059,C1
0.117647059,0.021276596,0,0,0,0.043630017,0,0.058823529,C1
0,0.117021277,0.153846154,0,0.015503876,0.064572426,0,0,C1
0,0,0,0,0.007751938,0.006980803,0,0,C1
0.235294118,0.037234043,0.461538462,0,0.03875969,0.038394415,0.1,0.058823529,C0
0,0,0,0,0.007751938,0.043630017,0,0.058823529,C1
0.117647059,0.069148936,0.076923077,0,0,0.027923211,0.05,0,C1
0.117647059,0.015957447,0,0,0,0,0.05,0,C1
0,0.010638298,0,0,0,0.015706806,0,0,C1
0,0.031914894,0,0,0.015503876,0.003490401,0,0.411764706,C3
0.058823529,0.021276596,0.076923077,0,0,0.006980803,0,0,C1
0,0.058510638,0.076923077,0.125,0.03875969,0.041884817,0.05,0.058823529,C1
0.176470588,0.010638298,0,0,0.007751938,0.033158813,0,0.058823529,C1
0.235294118,0.04787234,0,0,0,0.064572426,0,0.058823529,C0
0.764705882,0.558510638,0.230769231,0,0.279069767,0.111692845,0.7,1,C2
0.294117647,0.085106383,0.230769231,0,0.03875969,0.047120419,0.15,0.058823529,C0
0.117647059,0.015957447,0.076923077,0,0.007751938,0.012216405,0.1,0,C1
0,0.010638298,0,0,0.007751938,0.006980803,0.1,0.117647059,C1
0,0.021276596,0,0,0.007751938,0.089005236,0.05,0,C1
0,0.069148936,0,0,0.031007752,0.036649215,0,0,C1
0.176470588,0.079787234,0,0,0.015503876,0.033158813,0,0.117647059,C1
0,0.005319149,0,0,0,0.015706806,0,0,C1
0.117647059,0.010638298,0,0,0.015503876,0.006980803,0.05,0,C1
0,0.031914894,0,0,0,0.064572426,0,0.235294118,C1
0.058823529,0.010638298,0.076923077,0,0.031007752,0.038394415,0.05,0,C1
0.176470588,0.042553191,0.153846154,0.125,0.015503876,0.020942408,0.15,0.823529412,C3
0,0.005319149,0,0,0.007751938,0.015706806,0,0.058823529,C1
0.352941176,0.04787234,0.076923077,0,0.046511628,0.038394415,0,0,C0
0.176470588,0.132978723,0,0,0.062015504,0.057591623,0.1,0.235294118,C3
0,0.026595745,0,0,0.015503876,0.064572426,0,0,C1
0.294117647,0.04787234,0,0,0.007751938,0.02443281,0.25,0,C0
0.058823529,0.005319149,0,0,0.007751938,0.015706806,0,0,C1
0.705882353,0.473404255,0.538461538,0.375,1,1,0.1,0.529411765,C2
