PJ File 	activities	personal information	compliment	relationship	reframing	communicative desensitization	isolation	approach	deceptive trust development	family	friendship	romantic	activities	personal information	compliment	relationship	reframing	communicative desensitization	isolation	approach	
greeneyed121.txt	0	0	0	0	7	57	23	16	4	0	0	0	4	24	31	1	7	57	23	16	
green_eye_latino669.txt	0	0	0	0	6	21	6	15	0	0	0	0	0	17	7	4	6	21	6	15	
groehrig123.txt	0	0	0	0	3	33	6	8	6	0	0	0	6	6	18	0	3	33	6	8	
HAIRYONE4U.txt	0	0	0	0	9	38	10	35	0	0	0	0	0	14	16	0	9	38	10	35	
hardblackdick.txt	0	0	0	0	1	227	2	2	2	0	0	0	2	3	0	0	1	227	2	2	
hennessy1436.txt	0	0	0	0	1	4	4	16	0	0	0	0	0	9	0	0	1	4	4	16	
hey_malen.txt	0	0	0	0	2	20	1	4	1	0	0	0	1	2	0	0	2	20	1	4	
hiexcitement.txt	0	0	0	0	7	25	3	96	9	0	0	0	9	11	8	0	7	25	3	96	
highplainsrider20002000.txt	0	0	0	0	5	49	3	36	0	0	0	0	0	4	7	1	5	49	3	36	
hk_sf_hi.txt	0	0	0	0	5	80	29	44	16	0	0	0	16	32	23	8	5	80	29	44	
holdyoucloser2003.txt	0	0	0	0	1	18	6	13	1	0	0	0	1	13	2	0	1	18	6	13	
hot95cobraguy.txt	0	0	0	0	3	424	16	21	0	0	0	0	0	10	400	3	3	424	16	21	
hotntastymale.txt	0	0	0	0	3	15	16	24	0	0	0	0	0	6	178	1	3	15	16	24	
hotplushung.txt	0	0	0	0	0	8	7	34	0	0	0	0	0	5	823	2	0	8	7	34	
hum _366.txt	0	0	0	0	5	81	4	20	0	0	0	0	0	29	26	2	5	81	4	20	
icepirate53.txt	0	0	0	0	3	7	8	25	0	0	0	0	0	8	1	0	3	7	8	25	
ich_bin_der_eggman _67.txt	0	0	0	0	8	48	9	12	0	0	0	0	0	1	7	0	8	48	9	12	
icouldspoilu.txt	0	0	0	0	2	45	9	9	2	0	0	0	2	7	4	1	2	45	9	9	
indianahighroller.txt	0	0	0	0	4	111	17	30	0	0	0	0	0	39	20	3	4	111	17	30	
italianlover37.txt	0	0	0	0	1	8	1	1	0	0	0	0	0	1	4	0	1	8	1	1	
iurutherford.txt	0	0	0	0	8	78	4	16	4	0	0	0	4	28	55	1	8	78	4	16	
i_luv_the_putay.txt	0	0	0	0	3	39	3	14	0	0	0	0	0	3	12	0	3	39	3	14	
jackenit_6in.txt	0	0	0	0	0	37	7	5	2	0	0	0	2	27	4	2	0	37	7	5	
jacob_cason2003.txt	0	0	0	0	0	3	2	0	2	0	0	0	2	3	4	0	0	3	2	0	
jagjen2003.txt	0	0	0	0	0	10	1	4	0	0	0	0	0	5	0	0	0	10	1	4	
jaime2002 _22.txt	0	0	0	0	5	12	7	17	0	0	0	0	0	11	4	1	5	12	7	17	
jake905_1999.txt	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
jay1oc.txt	0	0	0	0	0	16	2	7	1	0	0	0	1	13	5	1	0	16	2	7	
jaydan0033.txt	0	0	0	0	6	51	11	49	0	0	0	0	0	29	32	1	6	51	11	49	
jazzeman04.txt	0	0	0	0	2	49	1	5	3	0	0	0	3	3	4	0	2	49	1	5	
jbird2000 _95020.txt	0	0	0	0	0	70	7	11	4	0	0	0	4	15	14	0	0	70	7	11	
jbrian1964.txt	0	0	0	0	62	315	88	188	13	0	0	0	13	160	134	6	62	315	88	188	
jc_bah.txt	0	0	0	0	8	67	16	24	5	0	0	0	5	24	13	2	8	67	16	24	
JDC074.txt	0	0	0	0	1	20	5	2	2	0	0	0	2	8	2	0	1	20	5	2	
jim90020.txt	0	0	0	0	2	10	2	12	0	0	0	0	0	11	1	1	2	10	2	12	
Jimster7.txt	0	0	0	0	1	92	1	5	0	0	0	0	0	10	5	0	1	92	1	5	
jim_garvin56.txt	0	0	0	0	6	32	28	15	0	0	0	0	0	32	42	0	6	32	28	15	
jkspeedster0112.txt	0	0	0	0	10	57	4	6	3	0	0	0	3	32	8	0	10	57	4	6	
jleno9.txt	0	0	0	0	0	18	0	11	0	0	0	0	0	5	4	0	0	18	0	11	
jlh3120.txt	0	0	0	0	3	7	1	22	2	0	0	0	2	4	3	0	3	7	1	22	
jmv91373.txt	0	0	0	0	0	77	17	8	0	0	0	0	0	35	11	2	0	77	17	8	
john.frady2006.txt	0	0	0	0	4	46	5	9	1	0	0	0	1	16	16	1	4	46	5	9	
johnchess2000.txt	0	0	0	0	9	34	12	35	3	0	0	0	3	25	15	5	9	34	12	35	
jteno72960.txt	0	0	0	0	2	12	1	10	0	0	0	0	0	5	2	0	2	12	1	10	
jtwant2play.txt	0	0	0	0	10	44	12	22	6	0	0	0	6	26	41	0	10	44	12	22	
jubjub970.txt	0	0	0	0	14	99	27	33	3	0	0	0	3	54	22	1	14	99	27	33	
juggalo4lifesuckas.txt	0	0	0	0	5	703	9	6	0	0	0	0	0	9	3	2	5	703	9	6	
JungleMania20050.txt	0	0	0	0	1	29	12	14	5	0	0	0	5	11	0	0	1	29	12	14	
Justinnbos.txt	0	0	0	0	1	17	1	2	1	0	0	0	1	1	2	0	1	17	1	2	
kalowoodsman.txt	0	0	0	0	203	1657	187	112	12	0	0	0	12	259	511	6	203	1657	187	112	
KCROWOO.txt	0	0	0	0	8	36	5	30	0	0	0	0	0	6	3	0	8	36	5	30	
kenneth_forton.txt	0	0	0	0	1	88	6	6	1	0	0	0	1	18	13	6	1	88	6	6	
kinkyjeff694u.txt	0	0	0	0	10	224	16	29	3	0	0	0	3	38	654	0	10	224	16	29	
kinky_man_in_corona.txt	0	0	0	0	5	57	10	12	0	0	0	0	0	8	5	0	5	57	10	12	
kool_biker80.txt	0	0	0	0	6	71	16	33	2	0	0	0	2	43	10	0	6	71	16	33	
kydaddyalone.txt	0	0	0	0	42	228	4102	144	14	0	0	0	14	201	107	19	42	228	4102	144	
latinhawk63.txt	0	0	0	0	4	83	6	6	0	0	0	0	0	17	9	0	4	83	6	6	
latino _626.txt	0	0	0	0	10	40	8	18	5	0	0	0	5	11	42	0	10	40	8	18	
laybay343.txt	0	0	0	0	0	8	5	10	0	0	0	0	0	5	5	0	0	8	5	10	
lee_greer74.txt	0	0	0	0	7	40	9	12	5	0	0	0	5	39	19	1	7	40	9	12	
likuososweet.txt	0	0	0	0	0	1	2	1	0	0	0	0	0	11	79	0	0	1	2	1	
longbeachdude19.txt	0	0	0	0	13	81	27	18	5	0	0	0	5	25	46	4	13	81	27	18	
lowvoltage18.txt	0	0	0	0	6	28	2	10	2	0	0	0	2	190	23	1	6	28	2	10	
magic4isl2002.txt	0	0	0	0	7	72	15	42	1	0	0	0	1	38	19	0	7	72	15	42	
magichands7777.txt	0	0	0	0	5	35	8	20	0	0	0	0	0	17	0	1	5	35	8	20	
makavelli_of_lewiston.txt	0	0	0	0	10	40	5	25	0	0	0	0	0	31	40	0	10	40	5	25	
mandaringuy78.txt	0	0	0	0	6	18	3	3	1	0	0	0	1	12	1	0	6	18	3	3	
manflooking4sexwithladymoorheadf.txt	0	0	0	0	0	206	4	7	1	0	0	0	1	3	14	0	0	206	4	7	
mannbay2004.txt	0	0	0	0	3	25	12	26	5	0	0	0	5	16	33	1	3	25	12	26	
manofdarkneedsl951.txt	0	0	0	0	0	8	0	3	0	0	0	0	0	2	0	0	0	8	0	3	
manontherun45.txt	0	0	0	0	30	543	52	67	0	0	0	0	0	164	97	5	30	543	52	67	
mansfield_tiger2007.txt	0	0	0	0	1	28	2	15	0	0	0	0	0	11	2	0	1	28	2	15	
Markiemarcc.txt	0	0	0	0	5	56	2	13	0	0	0	0	0	13	8	1	5	56	2	13	
marriedandlookingforfun31313.txt	0	0	0	0	46	237	103	143	3	0	0	0	3	92	433	7	46	237	103	143	
marzain2002.txt	0	0	0	0	6	166	38	14	4	0	0	0	4	106	13	1	6	166	38	14	
meatrocket8.txt	0	0	0	0	2	34	2	11	0	0	0	0	0	5	11	1	2	34	2	11	
michaelmeyer2448.txt	0	0	0	0	7	89	10	21	1	0	0	0	1	16	5	1	7	89	10	21	
mikejardi.txt	0	0	0	0	6	30	5	10	0	0	0	0	0	8	6	0	6	30	5	10	
mikespikegetiingcrazytocu.txt	0	0	0	0	1	13	8	10	0	0	0	0	0	4	0	2	1	13	8	10	
mike_vestal69.txt	0	0	0	0	5	38	7	14	2	0	0	0	2	15	18	1	5	38	7	14	
milw_male2002.txt	0	0	0	0	1	34	3	5	2	0	0	0	2	4	3	0	1	34	3	5	
mjn _523.txt	0	0	0	0	5	54	8	6	4	0	0	0	4	13	62	0	5	54	8	6	
mountaindew63401.txt	0	0	0	0	0	54	6	14	0	0	0	0	0	5	31	0	0	54	6	14	
mr6317.txt	0	0	0	0	15	48	17	35	5	0	0	0	5	33	34	2	15	48	17	35	
mrlvejones.txt	0	0	0	0	1	9	4	5	0	0	0	0	0	7	4	0	1	9	4	5	
mxracer _126.txt	0	0	0	0	1	19	11	28	7	0	0	0	7	12	3	2	1	19	11	28	
mygsr1.txt	0	0	0	0	2	5	1	11	0	0	0	0	0	2	0	0	2	5	1	11	
nakzox.txt	0	0	0	0	3	22	14	16	4	0	0	0	4	22	6	2	3	22	14	16	
navyboy_usn.txt	0	0	0	0	8	78	3	7	3	0	0	0	3	9	22	0	8	78	3	7	
ndbaseballstudd.txt	0	0	0	0	5	610	16	7	1	0	0	0	1	29	2	2	5	610	16	7	
ndguy58746.txt	0	0	0	0	11	209	18	17	0	0	0	0	0	40	95	0	11	209	18	17	
needafriendtotalkto2005.txt	0	0	0	0	1	29	5	15	0	0	0	0	0	10	41	3	1	29	5	15	
needinit1983.txt	0	0	0	0	4	4	0	0	4	0	0	0	4	11	1	0	4	4	0	0	
netbuckeye.txt	0	0	0	0	0	14	8	17	1	0	0	0	1	14	6	2	0	14	8	17	
nismo05007.txt	0	0	0	0	5	11	1	9	3	0	0	0	3	10	6	0	5	11	1	9	
novamike30.txt	0	0	0	0	8	51	13	23	3	0	0	0	3	72	21	7	8	51	13	23	
Oberon318.txt	0	0	0	0	1	8	2	6	0	0	0	0	0	4	5	0	1	8	2	6	
onelstsoul.txt	0	0	0	0	6	118	14	26	3	0	0	0	3	21	105	0	6	118	14	26	
osu_cowboy _24.txt	0	0	0	0	10	86	14	59	0	0	0	0	0	9	35	0	10	86	14	59	
parknride _469.txt	0	0	0	0	1	25	4	5	2	0	0	0	2	6	11	1	1	25	4	5	
Pavlov1234.txt	0	0	0	0	0	12	1	5	0	0	0	0	0	6	3	0	0	12	1	5	
pedro70001976.txt	0	0	0	0	0	16	5	6	0	0	0	0	0	4	0	3	0	16	5	6	
pete_wood11.txt	0	0	0	0	5	76	5	43	1	0	0	0	1	18	64	1	5	76	5	43	
phil29ct.txt	0	0	0	0	4	22	19	29	5	0	0	0	5	14	4	1	4	22	19	29	
pitbulldavid2001.txt	0	0	0	0	6	10	8	8	0	0	0	0	0	11	37	0	6	10	8	8	
pol_clemente.txt	0	0	0	0	2	33	19	10	0	0	0	0	0	14	21	2	2	33	19	10	
printo316.txt	0	0	0	0	6	19	3	52	0	0	0	0	0	23	8	0	6	19	3	52	
ProtegeES2002.txt	0	0	0	0	17	32	31	37	2	0	0	0	2	34	29	6	17	32	31	37	
quin_says.txt	0	0	0	0	1	15	2	5	2	0	0	0	2	8	0	0	1	15	2	5	
rauch_jim.txt	0	0	0	0	1	49	6	11	2	0	0	0	2	21	5	0	1	49	6	11	
readytofck.txt	0	0	0	0	12	108	3	39	13	0	0	0	13	30	98	1	12	108	3	39	
